departure_airport_name,departure_airport_id,departure_time,arrival_airport_name,arrival_airport_id,arrival_time,duration,airplane,airline,airline_logo,travel_class,flight_number,legroom,total_duration,price,type
Cairo International Airport,CAI,2024-06-17 00:30,King Abdulaziz International Airport,JED,2024-06-17 02:40,130,Airbus A330,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 663,31 in,130,152,One way
Cairo International Airport,CAI,2024-06-17 08:00,King Abdulaziz International Airport,JED,2024-06-17 10:10,130,Airbus A330,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 661,31 in,130,152,One way
Cairo International Airport,CAI,2024-06-17 15:20,King Abdulaziz International Airport,JED,2024-06-17 17:30,130,Airbus A330,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 671,31 in,130,152,One way
Cairo International Airport,CAI,2024-06-17 19:50,King Abdulaziz International Airport,JED,2024-06-17 22:00,130,Boeing 737,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 669,31 in,130,152,One way
Cairo International Airport,CAI,2024-06-17 21:20,King Abdulaziz International Airport,JED,2024-06-17 23:30,130,Boeing 737,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 643,32 in,130,152,One way
Cairo International Airport,CAI,2024-06-17 01:15,King Abdulaziz International Airport,JED,2024-06-17 03:40,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 568,30 in,145,160,One way
Cairo International Airport,CAI,2024-06-17 09:25,King Abdulaziz International Airport,JED,2024-06-17 11:50,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 566,30 in,145,160,One way
Cairo International Airport,CAI,2024-06-17 03:45,King Abdulaziz International Airport,JED,2024-06-17 06:05,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 308,32 in,140,166,One way
Cairo International Airport,CAI,2024-06-17 06:00,King Abdulaziz International Airport,JED,2024-06-17 08:20,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 382,32 in,140,166,One way
Cairo International Airport,CAI,2024-06-17 12:40,King Abdulaziz International Airport,JED,2024-06-17 15:00,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 300,32 in,140,166,One way
Cairo International Airport,CAI,2024-06-17 16:10,King Abdulaziz International Airport,JED,2024-06-17 18:30,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 330,32 in,140,166,One way
Cairo International Airport,CAI,2024-06-17 17:50,King Abdulaziz International Airport,JED,2024-06-17 20:10,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 304,32 in,140,166,One way
Cairo International Airport,CAI,2024-06-17 23:05,King Abdulaziz International Airport,JED,2024-06-18 01:25,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 388,32 in,140,166,One way
Cairo International Airport,CAI,2024-06-17 15:35,King Abdulaziz International Airport,JED,2024-06-17 18:00,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 584,30 in,145,174,One way
Cairo International Airport,CAI,2024-06-17 00:55,King Abdulaziz International Airport,JED,2024-06-17 03:15,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 386,32 in,140,176,One way
Cairo International Airport,CAI,2024-06-17 15:10,King Abdulaziz International Airport,JED,2024-06-17 17:30,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 306,32 in,140,176,One way
Cairo International Airport,CAI,2024-06-17 20:50,King Abdulaziz International Airport,JED,2024-06-17 23:10,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 302,32 in,140,176,One way
Cairo International Airport,CAI,2024-06-17 03:25,King Abdulaziz International Airport,JED,2024-06-17 05:40,135,Boeing 737,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 9905,30 in,135,,One way
Cairo International Airport,CAI,2024-06-17 03:50,King Abdulaziz International Airport,JED,2024-06-17 06:05,135,Airbus A320,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 170,28 in,135,,One way
Cairo International Airport,CAI,2024-06-17 06:00,King Abdulaziz International Airport,JED,2024-06-17 08:15,135,Airbus A320,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 9909,28 in,135,,One way
Cairo International Airport,CAI,2024-06-17 22:30,King Abdulaziz International Airport,JED,2024-06-18 00:45,135,Airbus A320,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 174,28 in,135,,One way
Cairo International Airport,CAI,2024-06-18 04:20,King Abdulaziz International Airport,JED,2024-06-18 06:40,140,Airbus A320,Air Cairo,https://www.gstatic.com/flights/airline_logos/70px/SM.png,Economy,SM 477,28 in,140,104,One way
Cairo International Airport,CAI,2024-06-18 11:25,King Abdulaziz International Airport,JED,2024-06-18 13:45,140,Airbus A320,Air Cairo,https://www.gstatic.com/flights/airline_logos/70px/SM.png,Economy,SM 475,28 in,140,104,One way
Cairo International Airport,CAI,2024-06-18 00:30,King Abdulaziz International Airport,JED,2024-06-18 02:40,130,Airbus A330,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 663,31 in,130,137,One way
Cairo International Airport,CAI,2024-06-18 14:05,King Abdulaziz International Airport,JED,2024-06-18 16:20,135,Airbus A320,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 170,28 in,135,,One way
Cairo International Airport,CAI,2024-06-18 19:10,King Abdulaziz International Airport,JED,2024-06-18 21:30,140,Airbus A320,Air Cairo,https://www.gstatic.com/flights/airline_logos/70px/SM.png,Economy,SM 479,28 in,140,104,One way
Cairo International Airport,CAI,2024-06-18 09:45,King Abdulaziz International Airport,JED,2024-06-18 12:00,135,Airbus A320,Flyadeal,https://www.gstatic.com/flights/airline_logos/70px/F3.png,Economy,F3 754,29 in,135,120,One way
Cairo International Airport,CAI,2024-06-18 21:15,King Abdulaziz International Airport,JED,2024-06-19 00:00,165,Airbus A320,Flyadeal,https://www.gstatic.com/flights/airline_logos/70px/F3.png,Economy,F3 762,29 in,165,120,One way
Cairo International Airport,CAI,2024-06-18 23:35,King Abdulaziz International Airport,JED,2024-06-19 01:45,130,Airbus A320,Flyadeal,https://www.gstatic.com/flights/airline_logos/70px/F3.png,Economy,F3 764,29 in,130,120,One way
Cairo International Airport,CAI,2024-06-18 03:45,King Abdulaziz International Airport,JED,2024-06-18 05:55,130,Boeing 737,FlyEgypt,https://www.gstatic.com/flights/airline_logos/70px/FT.png,Economy,FT 377,,130,123,One way
Cairo International Airport,CAI,2024-06-18 06:00,King Abdulaziz International Airport,JED,2024-06-18 08:10,130,Airbus A320,Air Arabia Egypt,https://www.gstatic.com/flights/airline_logos/70px/E5.png,Economy,E5 327,30 in,130,123,One way
Cairo International Airport,CAI,2024-06-18 01:15,King Abdulaziz International Airport,JED,2024-06-18 03:40,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 568,30 in,145,128,One way
Cairo International Airport,CAI,2024-06-18 09:25,King Abdulaziz International Airport,JED,2024-06-18 11:50,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 566,30 in,145,128,One way
Cairo International Airport,CAI,2024-06-18 18:10,King Abdulaziz International Airport,JED,2024-06-18 20:35,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 578,30 in,145,128,One way
Cairo International Airport,CAI,2024-06-18 19:05,King Abdulaziz International Airport,JED,2024-06-18 21:30,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 570,30 in,145,128,One way
Cairo International Airport,CAI,2024-06-18 22:00,King Abdulaziz International Airport,JED,2024-06-19 00:25,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 572,30 in,145,128,One way
Cairo International Airport,CAI,2024-06-18 00:25,King Abdulaziz International Airport,JED,2024-06-18 02:40,135,Airbus A320,Nile Air,https://www.gstatic.com/flights/airline_logos/70px/NP.png,Economy,NP 327,28 in,135,136,One way
Cairo International Airport,CAI,2024-06-18 06:15,King Abdulaziz International Airport,JED,2024-06-18 08:30,135,Airbus A321,Nile Air,https://www.gstatic.com/flights/airline_logos/70px/NP.png,Economy,NP 227,30 in,135,136,One way
Cairo International Airport,CAI,2024-06-18 12:45,King Abdulaziz International Airport,JED,2024-06-18 15:00,135,Airbus A321,Nile Air,https://www.gstatic.com/flights/airline_logos/70px/NP.png,Economy,NP 127,30 in,135,136,One way
Cairo International Airport,CAI,2024-06-18 14:30,King Abdulaziz International Airport,JED,2024-06-18 16:45,135,Airbus A320,Nile Air,https://www.gstatic.com/flights/airline_logos/70px/NP.png,Economy,NP 429,28 in,135,136,One way
Cairo International Airport,CAI,2024-06-18 15:35,King Abdulaziz International Airport,JED,2024-06-18 18:00,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 584,30 in,145,136,One way
