Departure datetime,Arrival datetime,Origin,Destination,Airline(s),Travel Time,Price ($),Num Stops,Layover,Access Date,CO2 Emission (kg),Emission Diff (%)
2024-05-31 09:45:00,2024-05-31 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,120.0,0,,2024-05-27,110.0,0.0
2024-05-31 21:15:00,2024-06-01 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,120.0,0,,2024-05-27,110.0,0.0
2024-05-31 03:45:00,2024-05-31 06:05:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 12:40:00,2024-05-31 15:00:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 15:10:00,2024-05-31 17:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 16:10:00,2024-05-31 18:30:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 17:50:00,2024-05-31 20:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 20:50:00,2024-05-31 23:10:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,118.0,0.0
2024-05-31 23:05:00,2024-06-01 01:25:00,CAI,JED,Saudia,2 hr 20 min,191.0,0,,2024-05-27,115.0,0.0
2024-05-31 00:55:00,2024-05-31 03:15:00,CAI,JED,Saudia,2 hr 20 min,222.0,0,,2024-05-27,115.0,0.0
2024-05-31 05:00:00,2024-05-31 07:15:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-06-01 09:25:00,2024-06-01 11:50:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-06-01 08:00:00,2024-06-01 10:10:00,CAI,JED,Air Arabia Egypt,2 hr 10 min,103.0,0,,2024-05-27,117.0,0.0
2024-06-01 04:20:00,2024-06-01 06:40:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,115.0,0.0
2024-06-01 18:25:00,2024-06-01 20:40:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-06-01 01:15:00,2024-06-01 03:40:00,CAI,JED,Flynas,2 hr 25 min,99.0,0,,2024-05-27,97.0,-16.0
2024-06-01 11:15:00,2024-06-01 13:35:00,CAI,JED,Air Cairo,2 hr 20 min,104.0,0,,2024-05-27,113.0,0.0
2024-06-01 18:55:00,2024-06-01 21:05:00,CAI,JED,FlyEgypt,2 hr 10 min,113.0,0,,2024-05-27,117.0,0.0
2024-06-01 15:35:00,2024-06-01 18:00:00,CAI,JED,Flynas,2 hr 25 min,120.0,0,,2024-05-27,97.0,-16.0
2024-06-01 09:45:00,2024-06-01 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,128.0,0,,2024-05-27,110.0,0.0
2024-06-01 18:10:00,2024-06-01 20:35:00,CAI,JED,Flynas,2 hr 25 min,128.0,0,,2024-05-27,97.0,-16.0
2024-06-01 19:05:00,2024-06-01 21:30:00,CAI,JED,Flynas,2 hr 25 min,128.0,0,,2024-05-27,97.0,-16.0
2024-06-01 22:00:00,2024-06-02 00:25:00,CAI,JED,Flynas,2 hr 25 min,128.0,0,,2024-05-27,97.0,-16.0
2024-06-01 23:35:00,2024-06-02 01:45:00,CAI,JED,Flyadeal,2 hr 10 min,136.0,0,,2024-05-27,110.0,0.0
2024-06-01 05:40:00,2024-06-01 07:55:00,CAI,JED,Nile Air,2 hr 15 min,155.0,0,,2024-05-27,122.0,6.0
2024-06-01 21:15:00,2024-06-02 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,174.0,0,,2024-05-27,110.0,0.0
2024-06-01 00:55:00,2024-06-01 03:15:00,CAI,JED,Saudia,2 hr 20 min,222.0,0,,2024-05-27,115.0,0.0
2024-06-01 03:45:00,2024-06-01 06:05:00,CAI,JED,Saudia,2 hr 20 min,222.0,0,,2024-05-27,115.0,0.0
2024-06-01 16:10:00,2024-06-01 18:30:00,CAI,JED,Saudia,2 hr 20 min,277.0,0,,2024-05-27,115.0,0.0
2024-06-01 17:50:00,2024-06-01 20:10:00,CAI,JED,Saudia,2 hr 20 min,277.0,0,,2024-05-27,115.0,0.0
2024-06-01 20:50:00,2024-06-01 23:10:00,CAI,JED,Saudia,2 hr 20 min,277.0,0,,2024-05-27,118.0,0.0
2024-06-01 23:05:00,2024-06-02 01:25:00,CAI,JED,Saudia,2 hr 20 min,277.0,0,,2024-05-27,115.0,0.0
2024-06-01 12:40:00,2024-06-01 15:00:00,CAI,JED,Saudia,2 hr 20 min,301.0,0,,2024-05-27,118.0,0.0
2024-06-01 15:10:00,2024-06-01 17:30:00,CAI,JED,Saudia,2 hr 20 min,384.0,0,,2024-05-27,115.0,0.0
2024-06-01 03:25:00,2024-06-01 05:40:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,114.0,0.0
2024-06-02 09:45:00,2024-06-02 12:00:00,CAI,JED,Flyadeal,2 hr 15 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-02 23:35:00,2024-06-03 01:45:00,CAI,JED,Flyadeal,2 hr 10 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-02 09:25:00,2024-06-02 11:50:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-02 05:45:00,2024-06-02 08:00:00,CAI,JED,Price unavailable,2 hr 15 min,,0,,2024-05-27,134.0,17.0
2024-06-02 15:15:00,2024-06-02 17:15:00,CAI,JED,Price unavailable,2 hr,,0,,2024-05-27,163.0,42.0
2024-06-02 21:15:00,2024-06-03 00:00:00,CAI,JED,Flyadeal,2 hr 45 min,70.0,0,,2024-05-27,110.0,0.0
2024-06-02 18:10:00,2024-06-02 20:35:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-02 19:05:00,2024-06-02 21:30:00,CAI,JED,Flynas,2 hr 25 min,88.0,0,,2024-05-27,97.0,-16.0
2024-06-02 22:00:00,2024-06-03 00:25:00,CAI,JED,Flynas,2 hr 25 min,94.0,0,,2024-05-27,97.0,-16.0
